Date,Keyword,Interest Score
2024-02-11,Bitcoin,39
2024-02-18,Bitcoin,31
2024-02-25,Bitcoin,62
2024-03-03,Bitcoin,77
2024-03-10,Bitcoin,70
2024-03-17,Bitcoin,50
2024-03-24,Bitcoin,46
2024-03-31,Bitcoin,41
2024-04-07,Bitcoin,44
2024-04-14,Bitcoin,58
2024-04-21,Bitcoin,36
2024-04-28,Bitcoin,34
2024-05-05,Bitcoin,30
2024-05-12,Bitcoin,30
2024-05-19,Bitcoin,31
2024-05-26,Bitcoin,26
2024-06-02,Bitcoin,31
2024-06-09,Bitcoin,30
2024-06-16,Bitcoin,26
2024-06-23,Bitcoin,27
2024-06-30,Bitcoin,28
2024-07-07,Bitcoin,30
2024-07-14,Bitcoin,32
2024-07-21,Bitcoin,35
2024-07-28,Bitcoin,33
2024-08-04,Bitcoin,48
2024-08-11,Bitcoin,28
2024-08-18,Bitcoin,28
2024-08-25,Bitcoin,26
2024-09-01,Bitcoin,25
2024-09-08,Bitcoin,24
2024-09-15,Bitcoin,26
2024-09-22,Bitcoin,25
2024-09-29,Bitcoin,24
2024-10-06,Bitcoin,24
2024-10-13,Bitcoin,23
2024-10-20,Bitcoin,24
2024-10-27,Bitcoin,31
2024-11-03,Bitcoin,47
2024-11-10,Bitcoin,100
2024-11-17,Bitcoin,83
2024-11-24,Bitcoin,66
2024-12-01,Bitcoin,79
2024-12-08,Bitcoin,64
2024-12-15,Bitcoin,66
2024-12-22,Bitcoin,51
2024-12-29,Bitcoin,46
2025-01-05,Bitcoin,47
2025-01-12,Bitcoin,47
2025-01-19,Bitcoin,60
2025-01-26,Bitcoin,45
2025-02-02,Bitcoin,51
2025-02-09,Bitcoin,34
2024-02-11,isPartial,0
2024-02-18,isPartial,0
2024-02-25,isPartial,0
2024-03-03,isPartial,0
2024-03-10,isPartial,0
2024-03-17,isPartial,0
2024-03-24,isPartial,0
2024-03-31,isPartial,0
2024-04-07,isPartial,0
2024-04-14,isPartial,0
2024-04-21,isPartial,0
2024-04-28,isPartial,0
2024-05-05,isPartial,0
2024-05-12,isPartial,0
2024-05-19,isPartial,0
2024-05-26,isPartial,0
2024-06-02,isPartial,0
2024-06-09,isPartial,0
2024-06-16,isPartial,0
2024-06-23,isPartial,0
2024-06-30,isPartial,0
2024-07-07,isPartial,0
2024-07-14,isPartial,0
2024-07-21,isPartial,0
2024-07-28,isPartial,0
2024-08-04,isPartial,0
2024-08-11,isPartial,0
2024-08-18,isPartial,0
2024-08-25,isPartial,0
2024-09-01,isPartial,0
2024-09-08,isPartial,0
2024-09-15,isPartial,0
2024-09-22,isPartial,0
2024-09-29,isPartial,0
2024-10-06,isPartial,0
2024-10-13,isPartial,0
2024-10-20,isPartial,0
2024-10-27,isPartial,0
2024-11-03,isPartial,0
2024-11-10,isPartial,0
2024-11-17,isPartial,0
2024-11-24,isPartial,0
2024-12-01,isPartial,0
2024-12-08,isPartial,0
2024-12-15,isPartial,0
2024-12-22,isPartial,0
2024-12-29,isPartial,0
2025-01-05,isPartial,0
2025-01-12,isPartial,0
2025-01-19,isPartial,0
2025-01-26,isPartial,0
2025-02-02,isPartial,0
2025-02-09,isPartial,1
